owner,repo,downstream_cnt
Unstructured-IO,unstructured,10053
PaddlePaddle,PaddleOCR,4259
Layout-Parser,layout-parser,2977
openvinotoolkit,openvino,1889
PaddlePaddle,PaddleHub,1295
PaddlePaddle,PaddleNLP,1258
PaddlePaddle,PaddleSeg,1003
jina-ai,serve,535
kserve,kserve,420
opencv,opencv,354
PaddlePaddle,X2Paddle,276
mlflow,mlflow,257
lululxvi,deepxde,161
PaddlePaddle,PaddleDetection,137
rerun-io,rerun,131
PaddlePaddle,PaddleSpeech,129
PaddlePaddle,PARL,104
PaddlePaddle,PaddleGAN,90
PaddlePaddle,PaddleX,87
shibing624,pycorrector,61
PaddlePaddle,PaddleMIX,55
PaddlePaddle,PGL,45
Thinklab-SJTU,pygmtools,31
PaddlePaddle,RocketQA,22
QPT-Family,QPT,21
PaddlePaddle,FastDeploy,20
tensorlayer,TensorLayerX,17
PaddlePaddle,Quantum,17
baidu,DDParser,16
PaddlePaddle,ERNIE,15
,PaddlePaddle,12
PaddlePaddle,PaddleVideo,11
xuebinqin,U-2-Net,9
yeyupiaoling,PPASR,8
katanaml,sparrow,6
PaddlePaddle,PaddleTS,6
PaddlePaddle,PaddleHelix,5
g0v,tw-rental-house-data,5
PaddlePaddle,MetaGym,4
PaddlePaddle,PLSC,3
PaddlePaddle,PaddleScience,3
PaddlePaddle,Serving,3
OpenWSGR,AutoWSGR,3
daxa-ai,pebblo,2
PaddlePaddle,PALM,2
maxent-ai,ocrpy,2
weihuayi,fealpy,2
ajkdrag,ocrtoolkit,2
BUPT-GAMMA,GammaGL,2
ucbepic,docetl,2
yeyupiaoling,VoiceprintRecognition-PaddlePaddle,2
ctripcorp,flybirds,2
FederatedAI,FedVision,2
PaddlePaddle,PaddleSpatial,2
AgentMaker,PaTTA,2
lazyFrogLOL,llmdocparser,1
nrl-ai,llama-assistant,1
PaddlePaddle,PaddleFL,1
oomol-lab,pdf-craft,1
jerryuhoo,VTuberTalk,0
xerrors,Yuxi-Know,0
mindspore-ai,models,0
mindspore-ai,mindspore,0
microsoft,OmniParser,0
ivy-llc,ivy,0
yeyupiaoling,LearnPaddle2,0
lyuwenyu,RT-DETR,0
zilliztech,phantoscope,0
jtl1207,comic-translation,0
liuzhao1225,YouDub,0
linhandev,medSeg,0
jtyoui,PyUnit,0
yuruotong1,autoMate,0
xavctn,img2table,0
lewangdev,PaddleWebOCR,0
ogkalu2,comic-translate,0
moesnow,March7thAssistant,0
thomas-yanxin,the-eye-knows-the-garbage,0
shadowcz007,AR-lab,0
shiokaze,UmamusumeAutoTrainer,0
simular-ai,Agent-S,0
sophgo,tpu-mlir,0
spmallick,learnopencv,0
,sbdcvsbdmask,0
huggingface,api-inference-community,0
tata1661,FSL-Mate,0
thomas-yanxin,ColugoMum,0
sambanova,ai-starter-kit,0
sMythicalBird,ZenlessZoneZero-Auto,0
mumawQAQ,hsr-scanner,0
tianmiantech,WeFe,0
,pur1fyingbluearchiveautoscript,0
velviagris,PaddleOCRFastAPI,0
,openvinotoolkitopenvinonotebooks,0
warmshao,ChatTTSPlus,0
opendatalab,PDF-Extract-Kit,0
opendatalab,MinerU,0
wordweb,langchain-ChatGLM-and-TigerBot,0
nghuyong,ERNIE-Pytorch,0
netease-youdao,QAnything,0
,infstellargenshinimpactassistant,0
aboutcode-org,scancode-toolkit,0
hscspring,All4NLP,0
PaddlePaddle,VIMER,0
PaddlePaddle,Research,0
PaddlePaddle,PaddleYOLO,0
PaddlePaddle,PaddleRec,0
PaddlePaddle,PaddleFleetX,0
PaddlePaddle,Paddle-Lite,0
PaddlePaddle,Knover,0
PaddlePaddle,InterpretDL,0
PaddlePaddle,ERNIE-SDK,0
PaddleCV-SIG,EISeg,0
NormXU,ERNIE-Layout-Pytorch,0
NVIDIA,trt-samples-for-hackathon-cn,0
MetaGLM,glm-cookbook,0
Meituan-Dianping,vision-ui,0
Kedreamix,Linly-Talker,0
,JovenChuembeddingmodeltest,0
JiehangXie,PaddleBoBo,0
Jaammerr,The-Dawn-Bot,0
Guiflayrom,yolnp,0
FlagAI-Open,Aquila2,0
DoctorReid,ZenlessZoneZero-OneDragon,0
Cicada000,VV,0
ByungKwanLee,MoAI,0
Barabama,FreeNodes,0
ArkMowers,arknights-mower,0
AgentMaker,Paddle-RLBooks,0
Adlik,Adlik,0
1084667371,ExtractLine,0
PaddlePaddle,TrustAI,0
feizc,DiS,0
hgjazhgj,FGO-py,0
PaddlePaddle,awesome-DeepLearning,0
hduchat,KB-Builder,0
hahahappyboy,GANForCartoon,0
guanjz20,StyleSync,0
feizc,Dimba,0
elasticdeeplearning,edl,0
douhaohaode,NovelT,0
,danfenghongIEEETIPUIU-Net,0
cotton6,COTTON-size-does-matter,0
ayuLiao,short-video-generate,0
alicewish,MomoTranslator,0
alanross,AlvaAR,0
aigc-apps,PAI-RAG,0
ZJUICSR,AIcert,0
ZJU-OpenKS,OpenKS,0
Yutong-gannis,ETSAuto,0
YaoFANGUK,video-subtitle-remover,0
WithHades,banfoStyle,0
,SsageParudersAndroidNativeSurface,0
,ShuaibinLiRLCARLA,0
Sharpiless,yolov3-vehicle-detection-paddle,0
Sharpiless,PaddleX-Flask-VUE-demo,0
SamsungLabs,SPIn-NeRF,0
SCUTlihaoyu,open-chat-video-editor,0
PeiJieSun,diffnet,0
PallasBot,Pallas-Bot,0
PaddlePaddle,models,0
PaddlePaddle,docs,0
zyddnys,manga-image-translator,0
