owner,repo_name,created_at,type
opencv,opencv,2012-07-19T09:40:17Z,1
opendatalab,MinerU,2024-02-29T08:52:34Z,1
spmallick,learnopencv,2015-02-17T08:00:51Z,8
microsoft,OmniParser,2024-09-20T05:18:18Z,1
jina-ai,serve,2020-02-13T17:04:44Z,6
mlflow,mlflow,2018-06-05T16:05:58Z,6
ivy-llc,ivy,2021-01-19T08:37:25Z,7
netease-youdao,QAnything,2024-01-03T03:24:18Z,4
Unstructured-IO,unstructured,2022-09-26T21:53:41Z,7
xuebinqin,U-2-Net,2020-05-04T17:10:28Z,1
rerun-io,rerun,2022-04-08T07:30:05Z,7
openvinotoolkit,openvino,2018-10-15T10:54:40Z,7
opendatalab,PDF-Extract-Kit,2024-06-27T13:05:27Z,1
zyddnys,manga-image-translator,2021-02-18T03:03:23Z,1
moesnow,March7thAssistant,2023-08-18T15:19:12Z,1
YaoFANGUK,video-subtitle-remover,2023-10-25T02:50:01Z,1
shibing624,pycorrector,2018-03-01T11:08:02Z,2
Layout-Parser,layout-parser,2020-06-10T20:22:54Z,1
katanaml,sparrow,2022-01-08T08:45:44Z,1
mindspore-ai,mindspore,2020-02-11T08:43:48Z,6
kserve,kserve,2019-03-27T21:14:14Z,6
DoctorReid,ZenlessZoneZero-OneDragon,2024-06-07T11:28:47Z,1
lyuwenyu,RT-DETR,2023-05-10T06:35:56Z,1
yuruotong1,autoMate,2024-01-20T03:04:09Z,4
lululxvi,deepxde,2019-02-08T02:19:14Z,5
infstellar,genshin_impact_assistant,2022-09-12T04:25:22Z,1
SCUTlihaoyu,open-chat-video-editor,2023-05-05T09:23:28Z,3
openvinotoolkit,openvino_notebooks,2021-03-11T09:01:13Z,8
Kedreamix,Linly-Talker,2023-10-17T06:18:27Z,4
simular-ai,Agent-S,2024-10-09T15:43:12Z,4
aboutcode-org,scancode-toolkit,2015-07-01T13:43:06Z,2
oomol-lab,pdf-craft,2025-02-12T06:10:59Z,1
Cicada000,VV,2024-12-19T13:22:04Z,1
ucbepic,docetl,2024-07-09T05:57:16Z,4
tata1661,FSL-Mate,2020-03-28T14:37:40Z,8
hgjazhgj,FGO-py,2019-10-21T15:53:46Z,1
NVIDIA,trt-samples-for-hackathon-cn,2021-03-19T04:45:47Z,8
ogkalu2,comic-translate,2024-01-25T08:45:17Z,1
sMythicalBird,ZenlessZoneZero-Auto,2024-07-13T04:17:54Z,1
xerrors,Yuxi-Know,2024-07-05T10:57:35Z,4
JiehangXie,PaddleBoBo,2021-12-22T13:25:10Z,4
Barabama,FreeNodes,2023-07-30T06:01:09Z,1
pur1fying,blue_archive_auto_script,2023-08-28T03:31:34Z,1
nghuyong,ERNIE-Pytorch,2019-05-13T06:25:20Z,2
ctripcorp,flybirds,2021-12-30T09:17:18Z,7
MetaGLM,glm-cookbook,2024-01-22T12:52:06Z,8
yeyupiaoling,PPASR,2021-02-26T08:35:47Z,3
Adlik,Adlik,2019-09-23T21:06:09Z,6
QPT-Family,QPT,2021-05-03T09:09:42Z,7
jtyoui,PyUnit,2019-01-15T17:03:36Z,8
sophgo,tpu-mlir,2022-06-03T11:54:08Z,7
xavctn,img2table,2022-03-21T10:07:19Z,1
jtl1207,comic-translation,2022-03-02T03:52:19Z,1
ArkMowers,arknights-mower,2021-09-09T03:46:31Z,1
tensorlayer,TensorLayerX,2021-12-03T07:41:20Z,6
Jaammerr,The-Dawn-Bot,2024-08-20T18:14:18Z,5
nrl-ai,llama-assistant,2024-09-26T17:37:24Z,4
FlagAI-Open,Aquila2,2023-09-26T04:37:19Z,2
PallasBot,Pallas-Bot,2021-11-08T11:26:18Z,4
alanross,AlvaAR,2022-10-18T19:17:24Z,1
liuzhao1225,YouDub,2023-11-02T08:21:31Z,1
jerryuhoo,VTuberTalk,2021-12-03T15:50:21Z,3
mindspore-ai,models,2021-10-15T06:38:37Z,2
Meituan-Dianping,vision-ui,2019-02-20T10:33:05Z,1
PaddleCV-SIG,EISeg,2021-04-25T11:11:45Z,2
aigc-apps,PAI-RAG,2023-08-11T02:53:30Z,4
Thinklab-SJTU,pygmtools,2021-10-18T16:33:24Z,5
weihuayi,fealpy,2017-07-04T07:25:08Z,5
ByungKwanLee,MoAI,2024-03-11T07:51:14Z,5
guanjz20,StyleSync,2023-05-05T16:02:24Z,5
SsageParuders,Android_Native_Surface,2022-07-02T15:46:30Z,1
thomas-yanxin,ColugoMum,2021-11-02T05:21:15Z,1
mumawQAQ,hsr-scanner,2024-06-01T01:16:25Z,1
lazyFrogLOL,llmdocparser,2024-07-26T06:59:44Z,1
shadowcz007,AR-lab,2021-03-06T03:35:05Z,1
yeyupiaoling,VoiceprintRecognition-PaddlePaddle,2020-04-29T04:10:20Z,3
BUPT-GAMMA,GammaGL,2021-11-30T07:15:51Z,5
shiokaze,UmamusumeAutoTrainer,2023-08-30T13:29:41Z,1
alicewish,MomoTranslator,2023-04-09T05:38:32Z,1
maxent-ai,ocrpy,2020-10-18T13:13:36Z,6
ZJUICSR,AIcert,2024-02-04T08:28:12Z,6
sambanova,ai-starter-kit,2023-10-06T16:34:46Z,8
Guiflayrom,yolnp,2022-01-19T21:01:06Z,1
WithHades,banfoStyle,2021-10-13T02:55:05Z,2
SamsungLabs,SPIn-NeRF,2023-04-17T01:22:24Z,1
Yutong-gannis,ETSAuto,2023-01-12T17:19:39Z,1
PeiJieSun,diffnet,2019-04-19T17:55:28Z,5
hscspring,All4NLP,2017-11-02T08:03:05Z,8
elasticdeeplearning,edl,2018-03-02T21:45:19Z,6
Sharpiless,PaddleX-Flask-VUE-demo,2021-02-03T09:34:21Z,1
huggingface,api-inference-community,2020-12-30T17:28:17Z,7
ZJU-OpenKS,OpenKS,2020-05-25T03:42:04Z,6
yeyupiaoling,LearnPaddle2,2018-10-12T07:38:56Z,8
g0v,tw-rental-house-data,2018-05-14T13:50:37Z,1
feizc,DiS,2024-01-28T13:27:10Z,1
danfenghong,IEEE_TIP_UIU-Net,2022-12-01T04:01:48Z,1
Sharpiless,yolov3-vehicle-detection-paddle,2020-04-28T11:09:35Z,1
sbdcv,sbd_mask,2020-02-24T07:31:04Z,1
warmshao,ChatTTSPlus,2024-09-22T03:56:23Z,3
cotton6,COTTON-size-does-matter,2022-11-08T09:41:57Z,1
zilliztech,phantoscope,2020-04-08T08:45:23Z,1
daxa-ai,pebblo,2024-01-15T06:13:03Z,7
OpenWSGR,AutoWSGR,2022-06-19T05:47:56Z,1
JovenChu,embedding_model_test,2023-06-08T08:54:42Z,8
tianmiantech,WeFe,2021-10-08T06:42:35Z,6
douhaohaode,NovelT,2023-09-18T12:43:51Z,1
thomas-yanxin,the-eye-knows-the-garbage,2021-04-10T06:56:13Z,1
1084667371,ExtractLine,2020-12-10T08:05:56Z,1
linhandev,medSeg,2020-02-29T15:19:33Z,1
ayuLiao,short-video-generate,2022-07-01T10:26:16Z,1
velviagris,PaddleOCRFastAPI,2022-08-15T13:55:45Z,1
lewangdev,PaddleWebOCR,2021-11-25T14:23:41Z,1
FederatedAI,FedVision,2020-12-04T08:46:22Z,1
hduchat,KB-Builder,2024-08-08T06:53:53Z,4
AgentMaker,Paddle-RLBooks,2021-03-21T06:57:18Z,8
TW-NLP,ChineseErrorCorrector,2024-06-19T16:01:42Z,2
wordweb,langchain-ChatGLM-and-TigerBot,2023-06-08T11:20:09Z,4
NormXU,ERNIE-Layout-Pytorch,2022-12-10T08:04:47Z,2
AgentMaker,PaTTA,2021-03-09T13:26:19Z,7
feizc,Dimba,2024-05-24T07:00:13Z,1
hahahappyboy,GANForCartoon,2021-07-13T11:41:05Z,1
ajkdrag,ocrtoolkit,2024-02-09T12:39:11Z,6
ShuaibinLi,RL_CARLA,2021-02-01T08:09:54Z,5
