owner,repo,downstream_cnt,url
pytorch,pytorch,46930,https://github.com/pytorch/pytorch
UKPLab,sentence-transformers,46188,https://github.com/UKPLab/sentence-transformers
albumentations-team,albumentations,28591,https://github.com/albumentations-team/albumentations
duckdb,duckdb,21833,https://github.com/duckdb/duckdb
pola-rs,polars,21227,https://github.com/pola-rs/polars
bitsandbytes-foundation,bitsandbytes,9779,https://github.com/bitsandbytes-foundation/bitsandbytes
pgvector,pgvector-python,6624,https://github.com/pgvector/pgvector-python
serengil,deepface,6030,https://github.com/serengil/deepface
SYSTRAN,faster-whisper,5384,https://github.com/SYSTRAN/faster-whisper
sst,sst,5126,https://github.com/sst/sst
aws,sagemaker-python-sdk,4284,https://github.com/aws/sagemaker-python-sdk
langfuse,langfuse-python,3183,https://github.com/langfuse/langfuse-python
sinaptik-ai,pandas-ai,2995,https://github.com/sinaptik-ai/pandas-ai
pykeio,ort,2096,https://github.com/pykeio/ort
docling-project,docling,1597,https://github.com/docling-project/docling
gojasper,flash-diffusion,1507,https://github.com/gojasper/flash-diffusion
stanfordnlp,dspy,1344,https://github.com/stanfordnlp/dspy
baidubce,bce-qianfan-sdk,1277,https://github.com/baidubce/bce-qianfan-sdk
dmlc,gluon-nlp,1212,https://github.com/dmlc/gluon-nlp
huggingface,smolagents,1142,https://github.com/huggingface/smolagents
dipy,dipy,1083,https://github.com/dipy/dipy
huggingface,text-generation-inference,1042,https://github.com/huggingface/text-generation-inference
google-ai-edge,mediapipe,887,https://github.com/google-ai-edge/mediapipe
scikit-hep,awkward,858,https://github.com/scikit-hep/awkward
TorchIO-project,torchio,849,https://github.com/TorchIO-project/torchio
run-llama,llama-hub,768,https://github.com/run-llama/llama-hub
hexgrad,kokoro,741,https://github.com/hexgrad/kokoro
castorini,pyserini,666,https://github.com/castorini/pyserini
tracel-ai,burn,664,https://github.com/tracel-ai/burn
neptune-ai,neptune-client,624,https://github.com/neptune-ai/neptune-client
thuml,depyf,564,https://github.com/thuml/depyf
sigsep,open-unmix-pytorch,555,https://github.com/sigsep/open-unmix-pytorch
pipecat-ai,pipecat,549,https://github.com/pipecat-ai/pipecat
jcmgray,autoray,549,https://github.com/jcmgray/autoray
feast-dev,feast,530,https://github.com/feast-dev/feast
getkeops,keops,507,https://github.com/getkeops/keops
datastax,ragstack-ai,506,https://github.com/datastax/ragstack-ai
OpenInterpreter,open-interpreter,497,https://github.com/OpenInterpreter/open-interpreter
deepchecks,deepchecks,388,https://github.com/deepchecks/deepchecks
Aider-AI,aider,379,https://github.com/Aider-AI/aider
,Tony-Ypytorchwarmup,366,https://github.com/None/Tony-Ypytorchwarmup
lightly-ai,lightly,347,https://github.com/lightly-ai/lightly
embeddings-benchmark,mteb,341,https://github.com/embeddings-benchmark/mteb
apache,iotdb,320,https://github.com/apache/iotdb
xhluca,bm25s,306,https://github.com/xhluca/bm25s
mert-kurttutan,torchview,297,https://github.com/mert-kurttutan/torchview
replicate,cog,266,https://github.com/replicate/cog
facebookresearch,ava-256,261,https://github.com/facebookresearch/ava-256
MultimediaTechLab,YOLO,255,https://github.com/MultimediaTechLab/YOLO
Lightning-AI,LitServe,255,https://github.com/Lightning-AI/LitServe
NVIDIA,NeMo-Guardrails,250,https://github.com/NVIDIA/NeMo-Guardrails
redis,redis-vl-python,242,https://github.com/redis/redis-vl-python
pykeen,pykeen,241,https://github.com/pykeen/pykeen
apple,ml-cross-entropy,232,https://github.com/apple/ml-cross-entropy
,facebookresearchschedulefree,220,https://github.com/None/facebookresearchschedulefree
facebookresearch,ParlAI,215,https://github.com/facebookresearch/ParlAI
lhotse-speech,lhotse,199,https://github.com/lhotse-speech/lhotse
CNChTu,FCPE,192,https://github.com/CNChTu/FCPE
kuzudb,kuzu,172,https://github.com/kuzudb/kuzu
Lightning-AI,litdata,167,https://github.com/Lightning-AI/litdata
neo4j,neo4j-graphrag-python,159,https://github.com/neo4j/neo4j-graphrag-python
dssg,aequitas,148,https://github.com/dssg/aequitas
sbi-dev,sbi,138,https://github.com/sbi-dev/sbi
KindXiaoming,pykan,131,https://github.com/KindXiaoming/pykan
truera,trulens,130,https://github.com/truera/trulens
AnswerDotAI,byaldi,129,https://github.com/AnswerDotAI/byaldi
f-dangel,backpack,128,https://github.com/f-dangel/backpack
thewh1teagle,kokoro-onnx,127,https://github.com/thewh1teagle/kokoro-onnx
HKUDS,LightRAG,127,https://github.com/HKUDS/LightRAG
KoljaB,RealtimeTTS,111,https://github.com/KoljaB/RealtimeTTS
Lightning-AI,litgpt,106,https://github.com/Lightning-AI/litgpt
microsoft,onnxruntime-genai,104,https://github.com/microsoft/onnxruntime-genai
