owner,repo,downstream_cnt
pytorch,pytorch,46930
UKPLab,sentence-transformers,46188
albumentations-team,albumentations,28591
duckdb,duckdb,21833
pola-rs,polars,21227
bitsandbytes-foundation,bitsandbytes,9779
pgvector,pgvector-python,6624
serengil,deepface,6030
SYSTRAN,faster-whisper,5384
sst,sst,5126
aws,sagemaker-python-sdk,4284
langfuse,langfuse-python,3183
sinaptik-ai,pandas-ai,2995
pykeio,ort,2096
docling-project,docling,1597
gojasper,flash-diffusion,1507
stanfordnlp,dspy,1344
baidubce,bce-qianfan-sdk,1277
dmlc,gluon-nlp,1212
huggingface,smolagents,1142
dipy,dipy,1083
huggingface,text-generation-inference,1042
google-ai-edge,mediapipe,887
scikit-hep,awkward,858
TorchIO-project,torchio,849
run-llama,llama-hub,768
hexgrad,kokoro,741
castorini,pyserini,666
tracel-ai,burn,664
neptune-ai,neptune-client,624
thuml,depyf,564
sigsep,open-unmix-pytorch,555
pipecat-ai,pipecat,549
jcmgray,autoray,549
feast-dev,feast,530
getkeops,keops,507
datastax,ragstack-ai,506
OpenInterpreter,open-interpreter,497
deepchecks,deepchecks,388
Aider-AI,aider,379
,Tony-Ypytorchwarmup,366
lightly-ai,lightly,347
embeddings-benchmark,mteb,341
apache,iotdb,320
xhluca,bm25s,306
mert-kurttutan,torchview,297
replicate,cog,266
facebookresearch,ava-256,261
MultimediaTechLab,YOLO,255
Lightning-AI,LitServe,255
NVIDIA,NeMo-Guardrails,250
redis,redis-vl-python,242
pykeen,pykeen,241
apple,ml-cross-entropy,232
,facebookresearchschedulefree,220
facebookresearch,ParlAI,215
lhotse-speech,lhotse,199
CNChTu,FCPE,192
kuzudb,kuzu,172
Lightning-AI,litdata,167
neo4j,neo4j-graphrag-python,159
dssg,aequitas,148
sbi-dev,sbi,138
KindXiaoming,pykan,131
truera,trulens,130
AnswerDotAI,byaldi,129
f-dangel,backpack,128
thewh1teagle,kokoro-onnx,127
HKUDS,LightRAG,127
KoljaB,RealtimeTTS,111
Lightning-AI,litgpt,106
microsoft,onnxruntime-genai,104
CyberZHG,keras-radam,93
lenskit,lkpy,93
opea-project,GenAIComps,88
hubertsiuzdak,snac,86
asg017,sqlite-vec,85
cmusatyalab,openface,78
Farama-Foundation,Minari,75
flashinfer-ai,flashinfer,71
fepegar,unet,67
jiaweizzhao,GaLore,65
,openvinotoolkit,64
KohakuBlueleaf,PixelOE,62
aleximmer,Laplace,60
opendatalab,UniMERNet,59
Blaizzy,mlx-vlm,57
imbue-ai,carbs,57
norse,norse,55
Filimoa,open-parse,52
McGill-NLP,weblinx,52
MinishLab,model2vec,52
huggingface,lighteval,51
qiboteam,qibo,51
lm-sys,RouteLLM,48
aws,aws-k8s-tester,45
McGill-NLP,llm2vec,44
mustafaaljadery,lightning-whisper-mlx,43
,callummcdougallsaevis,43
vra,flopth,43
AWehenkel,UMNN,42
vllm-project,llm-compressor,40
roboflow,maestro,40
getzep,graphiti,40
predict-idlab,pyRDF2Vec,40
PAIR-code,lit,38
gempy-project,gempy,38
ContextualAI,gritlm,37
SylphAI-Inc,AdalFlow,36
IntelLabs,bayesian-torch,36
,alxndrTL,35
voicepaw,so-vits-svc-fork,33
dreadnode,rigging,32
amazon-science,chronos-forecasting,32
taosdata,TDengine,32
RapidAI,RapidOCR,30
openai,evals,30
fracdiff,fracdiff,30
colour-science,colour-checker-detection,29
Schroedinger-Hat,ImageGoNord-pip,28
allenai,OLMo-core,28
landing-ai,vision-agent,28
basetenlabs,truss,28
dleemiller,WordLlama,27
conjuncts,gmft,27
OatmealLiu,FineR,27
lucidrains,adam-atan2-pytorch,26
huggingface,chug,26
google-research,timesfm,26
,googlegemmapytorch,26
scikit-learn-contrib,hiclass,25
NVIDIA,Megatron-Energon,25
Lightning-AI,lightning-thunder,24
myshell-ai,MeloTTS,23
sintel-dev,Orion,23
AI-Hypercomputer,JetStream,23
argmaxinc,DiffusionKit,23
xdit-project,xDiT,22
NVIDIA,nvidia-resiliency-ext,22
mil-tokyo,webdnn,22
sdv-dev,SDGym,21
filipstrand,mflux,21
flexcompute,tidy3d,20
instructlab,instructlab,20
kubeflow,trainer,20
microsoft,BitBLAS,20
SapienzaNLP,relik,19
facebookresearch,audioseal,19
kornia,kornia-rs,19
davidberenstein1957,fast-sentence-transformers,19
SalesforceAIResearch,uni2ts,18
nanoporetech,medaka,18
oramasearch,oramacore,18
fal-ai,aura-sr,18
IBM,terratorch,18
rentruewang,koila,17
SURGroup,UQpy,17
ieasybooks,tafrigh,17
henrysky,astroNN,17
MouseLand,Kilosort,17
mmschlk,shapiq,17
graphsignal,graphsignal-python,16
allenai,reward-bench,16
google-ai-edge,ai-edge-torch,16
Blaizzy,mlx-audio,16
stanfordnlp,pyreft,15
mit-han-lab,torchsparse,15
GraySwanAI,nanoGCG,15
cognitivecomputations,grokadamw,14
google-deepmind,concordia,14
,ggerganov,14
bespokelabsai,curator,14
SonyCSLParis,music2latent,14
Byaidu,PDFMathTranslate,14
alphacep,vosk-tts,14
iamgroot42,mimir,13
pomonam,kronfluence,13
scaleoutsystems,fedn,13
athina-ai,athina-evals,13
lucidrains,ring-attention-pytorch,13
discus0434,aesthetic-predictor-v2-5,12
EL-BID,urbanpy,12
jmschrei,tangermeme,12
facebookresearch,tacto,12
jackboyla,GLiREL,12
NVIDIA,cudnn-frontend,11
ankandrew,fast-plate-ocr,11
moment-timeseries-foundation-model,moment,11
kyutai-labs,moshi,10
PriorLabs,tabpfn-client,10
megvii-research,HiDiffusion,10
modelscope,modelscope-agent,10
ugr-sail,sinergym,10
HomebrewML,HeavyBall,10
i-am-bee,beeai,9
facebookresearch,detr,9
All-Hands-AI,OpenHands,9
rachtibat,LRP-eXplains-Transformers,9
JailbreakBench,jailbreakbench,9
IAHispano,Audio-Upscaler,9
TorchJD,torchjd,9
emcie-co,parlant,9
microsoft,aurora,8
ibm-granite,granite-tsfm,8
microsoft,MInference,8
easy-graph,Easy-Graph,8
EasyJailbreak,EasyJailbreak,8
codelion,adaptive-classifier,8
astro-informatics,s2fft,8
orbital-materials,orb-models,8
huggingface,ratchet,7
mlc-ai,xgrammar,7
Novartis,torchsurv,7
andrewharp,ComfyUI-EasyNodes,7
NVlabs,MambaVision,7
BasedHardware,omi,7
helicalAI,helical,7
microsoft,OptiGuide,6
ENHANCE-PET,MOOSE,6
dvlab-research,MGM,6
brainglobe,cellfinder,6
Auto1111SDK,Auto1111SDK,6
som-shahlab,femr,6
segmind,segmoe,6
datamol-io,safe,6
opengeos,HyperCoast,6
interactiveaudiolab,ppgs,6
AIR-Bench,AIR-Bench,6
OpenLMLab,LOMO,6
raznem,parsera,6
ComposioHQ,composio,6
mostly-ai,mostlyai,6
OthersideAI,self-operating-computer,6
EMI-Group,evox,6
lucidrains,titans-pytorch,5
lucidrains,transfusion-pytorch,5
hyperonym,basaran,5
outspeed-ai,outspeed,5
intelligent-machine-learning,dlrover,5
songweige,content-debiased-fvd,5
,nestaukojddapsskills,5
zipnn,zipnn,5
zsylvester,segmenteverygrain,5
huggingface,nanotron,5
allwefantasy,auto-coder,5
lucidrains,mmdit,5
kotaro-kinoshita,yomitoku,5
MorganCThomas,MolScore,5
defog-ai,sqlcoder,5
OATML-Markslab,ProteinNPT,5
instanseg,instanseg,5
quantalogic,quantalogic,4
MadryLab,context-cite,4
zjunlp,EasyInstruct,4
dynamiq-ai,dynamiq,4
OleehyO,TexTeller,4
ml-energy,zeus,4
salute-developers,GigaAM,4
soda-inria,carte,4
NVIDIA,nvmath-python,4
lucidrains,minGRU-pytorch,4
TUDB-Labs,MixLoRA,4
axondeepseg,axondeepseg,4
xingchensong,S3Tokenizer,4
AmazingDD,daisyRec,4
Leeroo-AI,mergoo,4
pablovela5620,mini-dust3r,4
muditbhargava66,PyxLSTM,4
1ssb,torchkan,4
NVIDIA,earth2studio,4
autonomousvision,navsim,4
OSU-NLP-Group,HippoRAG,4
astramind-ai,Auralis,4
ThuCCSLab,JailbreakEval,4
ucbepic,docetl,4
swoole,phpy,4
mit-han-lab,nunchaku,4
genmoai,mochi,4
BigDataBiology,SemiBin,4
EleutherAI,sparsify,3
lifeiteng,OmniSenseVoice,3
empirical-run,empirical,3
lucidrains,autoregressive-diffusion-pytorch,3
weihuayi,fealpy,3
lucidrains,alphafold3-pytorch,3
codelion,optillm,3
camel-ai,crab,3
dpeerlab,spectra,3
pytorch,torchft,3
cvs-health,langfair,3
gaigutherz,Akkademia,3
mulanai,MuLan,3
astramind-ai,Mixture-of-depths,3
kyegomez,Jamba,3
AK391,ai-gradio,3
basf,mamba-tabular,3
TIGER-AI-Lab,Mantis,3
zamling,PSALM,3
huggingface,optimum-nvidia,3
,openclimatefixskillfulnowcasting,3
mbodiai,embodied-agents,3
AI4WA,Docs2KG,3
TY-Cheng,torchvinecopulib,3
google,cameratrapai,3
RingBDStack,SocialED,3
opengeos,geoai,3
denser-org,denser-retriever,3
NVIDIA,logits-processor-zoo,3
openrecall,openrecall,3
WecoAI,aideml,3
NVlabs,gbrl,3
trustgraph-ai,trustgraph,3
ServerlessLLM,ServerlessLLM,3
arkohut,pensieve,3
zhuhanqing,APOLLO,3
alibaba,MNN,3
LMCache,LMCache,3
Adibvafa,CodonTransformer,3
NeuralCarver,Michelangelo,3
KRLabsOrg,LettuceDetect,3
mathLab,PINA,3
hao-ai-lab,LookaheadDecoding,3
AudiogenAI,agc,3
microsoft,semanticworkbench,3
santinic,audiblez,2
nitrain,nitrain,2
SynaLinks,HybridAGI,2
Emerging-AI,ENOVA,2
fynnfluegge,codeqai,2
RightTyper,RightTyper,2
ESA-PhiLab,Major-TOM,2
dholzmueller,pytabkit,2
QuarticCat,detypify,2
aws-samples,foundation-model-benchmarking-tool,2
zetane,ZetaForge,2
vectorch-ai,ScaleLLM,2
ray-project,deltacat,2
overeasy-sh,overeasy,2
pdebench,PDEBench,2
PrunaAI,pruna,2
lucidrains,infini-transformer-pytorch,2
idea-fasoc,OpenFASOC,2
MDK8888,GPTFast,2
OpenMachine-ai,transformer-tricks,2
superagent-ai,super-rag,2
nath1295,LLMFlex,2
alipay,YiJian-Community,2
bytedance,Protenix,2
DeepRank,Deeprank-GNN,2
logix-project,logix,2
daxa-ai,pebblo,2
QingruZhang,PASTA,2
premAI-io,premsql,2
DeepWok,mase,2
vietanhdev,samexporter,2
PaddlePaddle,PaddleSpatial,2
polixir,OfflineRL,2
leafspark,AutoGGUF,2
WassimTenachi,PhySO,2
see2sound,see2sound,2
test-zeus-ai,testzeus-hercules,2
sh-lee97,grafx,2
pengzhangzhi,faplm,2
usefulsensors,moonshine,2
a-r-r-o-w,finetrainers,2
rentruewang,bocoel,2
tile-ai,tilelang,2
InternLM,HuixiangDou,2
bnsreenu,digitalsreeni-image-annotator,2
lucidrains,nGPT-pytorch,2
McGill-NLP,webllama,2
hitsz-ids,airda,2
Finity-Alpha,OpenVoiceChat,2
metauto-ai,GPTSwarm,2
apple,corenet,2
cdiddy77,react-native-llm-mediapipe,2
oxpig,AntiFold,2
