owner,repo_name,owner_type,fork,homepage,size,stars_cnt,language,forks_count,topics,created_at
dreadnode,rigging,Organization,False,https://docs.dreadnode.io/open-source/rigging,3892.0,262.0,Python,18.0,"['agents', 'litellm', 'llms', 'pydantic']",2024-01-29T20:15:08Z
jdrbc,podly_pure_podcasts,User,False,,4329.0,277.0,Python,21.0,[],2024-05-21T04:26:29Z
X-LANCE,SLAM-LLM,Organization,False,,177065.0,787.0,Python,77.0,"['audio-processing', 'large-language-model', 'multimodal-large-language-models', 'music-processing', 'peft', 'speech-processing']",2023-10-23T09:37:40Z
Emerging-AI,ENOVA,Organization,False,,6802.0,151.0,Python,23.0,[],2024-05-15T05:07:26Z
eloialonso,diamond,User,False,https://diamond-wm.github.io,48.0,1791.0,Python,126.0,"['artificial-intelligence', 'atari', 'deep-learning', 'diffusion-models', 'machine-learning', 'reinforcement-learning', 'research', 'world-models']",2024-05-19T22:31:40Z
isaac-sim,IsaacLab,Organization,False,https://isaac-sim.github.io/IsaacLab,231777.0,3433.0,Python,1630.0,"['isaac-sim', 'omniverse-kit-extension', 'robot-learning', 'robotics']",2022-11-16T23:55:13Z
TIGER-AI-Lab,MMLU-Pro,Organization,False,,340709.0,229.0,Python,36.0,"['evaluation', 'llm']",2024-05-16T23:59:51Z
NVIDIA,audio-flamingo,Organization,False,https://research.nvidia.com/labs/adlr/AF2/,5074.0,459.0,Python,27.0,"['audio-captioning', 'audio-language-models', 'audio-question-answering', 'audio-reasoning', 'multimodal-large-language-models']",2024-05-20T13:14:41Z
google-research,omniglue,Organization,False,https://hwjiang1510.github.io/OmniGlue,12039.0,637.0,Python,59.0,"['image-matching', 'multi-view-geometry']",2024-05-07T18:50:52Z
ggarra13,mrv2,User,False,https://mrv2.sourceforge.io,243954.0,277.0,C++,17.0,"['animation', 'cgi', 'flipbook', 'linux', 'macos', 'movie', 'movies', 'vfx', 'video-player', 'windows']",2022-09-05T02:00:13Z
zjp-shadow,CharacterGen,User,False,,86016.0,685.0,JavaScript,50.0,[],2024-02-28T07:32:12Z
HazyResearch,eclair-agents,Organization,False,https://arxiv.org/abs/2405.03710,4704.0,106.0,Jupyter Notebook,14.0,[],2024-05-07T15:39:05Z
zeng-yifei,STAG4D,User,False,,40672.0,186.0,Python,7.0,[],2024-03-25T08:28:55Z
georgian-io,Knowledge-Distillation-Toolkit,Organization,False,,80645.0,138.0,Python,27.0,"['deprecated', 'knowledge-distillation', 'pytorch', 'pytorch-lightning']",2021-02-23T14:44:45Z
bin123apple,AutoCoder,User,False,https://arxiv.org/abs/2405.14906,27022.0,843.0,Python,71.0,"['code-generation', 'code-interpreter', 'humaneval', 'llm', 'nlp', 'nlp-machine-learning', 'text-generation']",2024-05-13T03:06:16Z
RLHF-V,RLAIF-V,User,False,,62886.0,353.0,Python,14.0,"['chatbot', 'cvpr2025', 'gpt-4v', 'llava', 'llava-next', 'minicpm-v', 'multimodal', 'rlaif-v', 'vision-language-learning']",2024-05-13T07:58:37Z
easy-graph,Easy-Graph,Organization,False,https://easy-graph.github.io/,4504.0,417.0,Python,42.0,"['multiprocessing-optimization', 'network-analysis', 'python', 'structural-hole-theory']",2020-06-21T09:08:24Z
minyoungg,platonic-rep,User,False,,58.0,521.0,Python,36.0,[],2024-05-11T23:54:18Z
Zeying-Gong,PatchMixer,User,False,,2246.0,203.0,Python,18.0,[],2023-10-08T02:02:00Z
naklecha,llama3-from-scratch,User,False,,16399.0,14888.0,Jupyter Notebook,1256.0,[],2024-05-19T15:54:35Z
cohere-ai,magikarp,Organization,False,https://arxiv.org/abs/2405.05417,2659992.0,153.0,Python,13.0,"['large-language-models', 'tokenization']",2024-04-29T14:29:13Z
rmusser01,tldw,User,True,https://tldwproject.com,187955.0,723.0,Python,32.0,"['a-young-ladys-illustrated-primer', 'ai-assistant', 'ai-ml', 'apache2', 'llm', 'multi-tool', 'notebooklm', 'open-source', 'personal-knowledge-management', 'research', 'research-tool', 'summarizer', 'summarizer-ai', 'yt-dlp']",2024-04-30T16:42:29Z
OpenRobotLab,HIMLoco,Organization,False,https://junfeng-long.github.io/HIMLoco/,99161.0,460.0,Python,47.0,[],2023-12-14T14:16:20Z
GuoCoder,ai-app,User,False,,9893.0,224.0,Python,39.0,[],2024-04-25T15:39:48Z
